e,conjunção,i
en·ca·po·ta·do,adjetivo,ĩ.ka.po.tˈa.dʊ
en·ca·po·ta·do,"nome masculino",ĩ.ka.po.tˈa.dʊ
en·ca·po·tar,verbo,ĩ.ka.po.tˈa
en·cap·su·lar,verbo,ĩ.ka.pə.su.lˈa
en·ca·pu·cha·do,adjetivo,ĩ.ka.pu.ʃˈa.dʊ
en·ca·pu·char,verbo,ĩ.ka.pu.ʃˈa
en·ca·pu·za·do,adjetivo,ĩ.ka.pu.zˈa.dʊ
en·ca·pu·zar,verbo,ĩ.ka.pu.zˈa
en·ca·ra·co·la·do,adjetivo,ĩ.ka.ɾa.ko.lˈa.dʊ
en·ca·ra·co·lar,verbo,ĩ.ka.ɾa.ko.lˈa
en·ca·ra·do,adjetivo,ĩ.ka.ɾˈa.dʊ
en·ca·ra·pi·nha·do,adjetivo,ĩ.ka.ɾa.pi.ɲˈa.dʊ
en·ca·ra·pi·nhar,verbo,ĩ.ka.ɾa.pi.ɲˈa
en·ca·rar,verbo,ĩ.ka.ɾˈa
en·car·ce·ra·da,"nome feminino",ĩ.kaɾ.se.ɾˈa.də
en·car·ce·ra·do,"nome masculino",ĩ.kaɾ.se.ɾˈa.dʊ
en·car·ce·ra·do,adjetivo,ĩ.kaɾ.se.ɾˈa.dʊ
en·car·ce·ra·men·to,"nome masculino",ĩ.kaɾ.se.ɾa.mˈẽj.tʊ
en·car·ce·rar,verbo,ĩ.kaɾ.se.ɾˈa
en·car·di·do,adjetivo,ĩ.kaɾ.dʒˈi.dʊ
en·car·dir,verbo,ĩ.kaɾ.dʒˈi
en·ca·re·cer,verbo,ĩ.ka.ɾe.sˈe
en·ca·re·ci·da·men·te,advérbio,ĩ.ka.ɾe.si.da.mˈẽj.tʃi
en·ca·re·ci·do,adjetivo,ĩ.ka.ɾe.sˈi.dʊ
en·ca·re·ci·men·to,"nome masculino",ĩ.ka.ɾe.si.mˈẽj.tʊ
en·car·gar,verbo,ĩ.kaɾ.gˈa
en·car·go,"nome masculino",ĩ.kˈaɾ.gʊ
en·car·na,"nome feminino",ĩ.kˈar.nə
en·car·na·ção,"nome feminino",ĩ.kar.na.sˈə̃w
en·car·na·da,"nome feminino",ĩ.kar.nˈa.də
en·car·na·do,adjetivo,ĩ.kar.nˈa.dʊ
en·car·na·do,"nome masculino",ĩ.kar.nˈa.dʊ
en·car·nar,verbo,ĩ.kar.nˈa
en·car·ne,"nome masculino",ĩ.kˈar.ni
en·car·ni·ça·da·men·te,advérbio,ĩ.kar.ni.sa.da.mˈẽj.tʃi
en·car·ni·ça·do,adjetivo,ĩ.kar.ni.sˈa.dʊ
en·car·ni·ça·men·to,"nome masculino",ĩ.kar.ni.sa.mˈẽj.tʊ
en·car·ni·çar,verbo,ĩ.kar.ni.sˈa
en·car·qui·lha·do,adjetivo,ĩ.kaɾ.ki.ʎˈa.dʊ
en·car·qui·lhar,verbo,ĩ.kaɾ.ki.ʎˈa
en·car·ra·pi·tar,verbo,ĩ.ka.xa.pi.tˈa
en·car·rar,verbo,ĩ.ka.xˈa
en·car·re·ga·da,"nome feminino",ĩ.ka.xe.gˈa.də
en·car·re·ga·do,"nome masculino",ĩ.ka.xe.gˈa.dʊ
en·car·re·ga·do,adjetivo,ĩ.ka.xe.gˈa.dʊ
en·car·re·gar,verbo,ĩ.ka.xe.gˈa
en·car·re·go,"nome masculino",ĩ.ka.xˈe.gʊ
en·car·rei·rar,verbo,ĩ.ka.xej.ɾˈa
en·car·ri·lar,verbo,ĩ.ka.xi.lˈa
en·car·ta·da,"nome feminino",ĩ.kaɾ.tˈa.də
en·car·ta·do,adjetivo,ĩ.kaɾ.tˈa.dʊ
en·car·ta·do,"nome masculino",ĩ.kaɾ.tˈa.dʊ
en·car·tar,verbo,ĩ.kaɾ.tˈa
en·car·te,"nome masculino",ĩ.kˈaɾ.tʃi
en·ca·sa·ca·do,adjetivo,ĩ.ka.za.kˈa.dʊ
en·ca·sa·car,verbo,ĩ.ka.za.kˈa
en·cas·to·a·do,adjetivo,ĩ.kas.to.ˈa.dʊ
en·cas·to·ar,verbo,ĩ.kas.to.ˈa
en·cas·tra·do,adjetivo,ĩ.kas.tɾˈa.dʊ
en·cas·tra·men·to,"nome masculino",ĩ.kas.tɾa.mˈẽj.tʊ
en·cas·trar,verbo,ĩ.kas.tɾˈa
en·cáus·ti·ca,"nome feminino",ĩ.kˈaws.tʃi.kə
en·cáus·ti·co,adjetivo,ĩ.kˈaws.tʃi.kʊ
en·ca·va·ca·do,adjetivo,ĩ.ka.va.kˈa.dʊ
en·ca·va·car,verbo,ĩ.ka.va.kˈa
en·ca·va·li·tar,verbo,ĩ.ka.va.li.tˈa
en·ce·fa·li·a,"nome feminino",ĩ.se.fa.lˈi.jə
en·ce·fá·li·co,adjetivo,ĩ.se.fˈa.li.kʊ
en·ce·fa·li·te,"nome feminino",ĩ.se.fa.lˈi.tʃi
en·cé·fa·lo,"nome masculino",ĩ.sˈɛ.fa.lʊ
en·ce·fa·lo·gra·ma,"nome masculino",ĩ.se.fa.lo.gɾˈə.mə
en·ce·fa·lo·mi·e·li·te,"nome feminino",ĩ.se.fa.lo.mi.e.lˈi.tʃi
en·ce·fa·lo·pa·ti·a,"nome feminino",ĩ.sɛ.fa.lo.pa.tʃˈi.jə
en·ce·lar,verbo,ĩ.se.lˈa
en·ce·na·ção,"nome feminino",ĩ.se.na.sˈə̃w
en·ce·na·dor,adjetivo,ĩ.se.na.dˈoɾ
en·ce·na·dor,"nome masculino",ĩ.se.na.dˈoɾ
en·ce·na·do·ra,"nome feminino",ĩ.se.na.dˈo.ɾə
en·ce·nar,verbo,ĩ.se.nˈa
en·ce·ra·do,adjetivo,ĩ.se.ɾˈa.dʊ
en·ce·ra·do,"nome masculino",ĩ.se.ɾˈa.dʊ
en·ce·ra·dor,adjetivo,ĩ.se.ɾa.dˈoɾ
en·ce·ra·do·ra,"nome feminino",ĩ.se.ɾa.dˈo.ɾə
en·ce·ra·men·to,"nome masculino",ĩ.se.ɾa.mˈẽj.tʊ
en·ce·rar,verbo,ĩ.se.ɾˈa
en·cer·ra,"nome feminino",ĩ.sˈɛ.xə
en·cer·ra·do,adjetivo,ĩ.se.xˈa.dʊ
en·cer·ra·men·to,"nome masculino",ĩ.se.xa.mˈẽj.tʊ
en·cer·rar,verbo,ĩ.se.xˈa
en·cer·ro,"nome masculino",ĩ.sˈe.xʊ
en·ces·tar,verbo,ĩ.ses.tˈa
en·ce·ta·do,adjetivo,ĩ.se.tˈa.dʊ
en·ce·tar,verbo,ĩ.se.tˈa
en·char·ca·da,"nome feminino",ĩ.ʃaɾ.kˈa.də
en·char·ca·do,adjetivo,ĩ.ʃaɾ.kˈa.dʊ
en·char·ca·men·to,"nome masculino",ĩ.ʃaɾ.ka.mˈẽj.tʊ
en·char·car,verbo,ĩ.ʃaɾ.kˈa
en·chen·te,"nome feminino",ĩ.ʃˈẽj.tʃi
en·chen·te,adjetivo,ĩ.ʃˈẽj.tʃi
en·cher,verbo,ĩ.ʃˈe
en·chi·do,"nome masculino",ĩ.ʃˈi.dʊ
en·chi·men·to,"nome masculino",ĩ.ʃi.mˈẽj.tʊ
en·cí·cli·ca,"nome feminino",ĩ.sˈi.kli.kə
en·cí·cli·co,adjetivo,ĩ.sˈi.kli.kʊ
"en·ci·clo·pé·di· a","nome feminino",ĩ.si.klo.pˈɛ.dʒjə
en·ci·clo·pé·di·ca,"nome feminino",ĩ.si.klo.pˈɛ.dʒi.kə
en·ci·clo·pe·di·ca·men·te,advérbio,ĩ.si.klo.pɛ.dʒi.ka.mˈẽj.tʃi
en·ci·clo·pé·di·co,adjetivo,ĩ.si.klo.pˈɛ.dʒi.kʊ
en·ci·clo·pé·di·co,"nome masculino",ĩ.si.klo.pˈɛ.dʒi.kʊ
en·ci·clo·pe·dis·mo,"nome masculino",ĩ.si.klo.pe.dʒˈiz.mʊ
en·ci·clo·pe·dis·ta,"nome masculino",ĩ.si.klo.pe.dʒˈis.tə
en·ci·clo·pe·dis·ta,"nome feminino",ĩ.si.klo.pe.dʒˈis.tə
en·ci·ma·do,"nome masculino",ĩ.si.mˈa.dʊ
en·ci·ma·do,adjetivo,ĩ.si.mˈa.dʊ
en·ci·mar,verbo,ĩ.si.mˈa
en·ciu·ma·do,adjetivo,ĩ.si.u.mˈa.dʊ
en·ciu·mar,verbo,ĩ.si.u.mˈa
en·clau·su·ra·do,adjetivo,ĩ.klaw.zu.ɾˈa.dʊ
en·clau·su·ra·men·to,"nome masculino",ĩ.klaw.zu.ɾa.mˈẽj.tʊ
en·clau·su·rar,verbo,ĩ.klaw.zu.ɾˈa
en·cla·ve,"nome masculino",ĩ.klˈa.vi
en·co·ber·ta,"nome feminino",ĩ.ko.bˈɛɾ.tə
en·co·ber·ta·men·te,advérbio,ĩ.ko.bɛɾ.ta.mˈẽj.tʃi
en·co·ber·tar,verbo,ĩ.ko.beɾ.tˈa
en·co·ber·to,adjetivo,ĩ.ko.bˈɛɾ.tʊ
en·co·bri·dor,adjetivo,ĩ.ko.bɾi.dˈoɾ
en·co·bri·dor,"nome masculino",ĩ.ko.bɾi.dˈoɾ
en·co·bri·do·ra,"nome feminino",ĩ.ko.bɾi.dˈo.ɾə
en·co·bri·men·to,"nome masculino",ĩ.ko.bɾi.mˈẽj.tʊ
en·co·brir,verbo,ĩ.ko.bɾˈi
en·co·le·ri·za·do,adjetivo,ĩ.ko.le.ɾi.zˈa.dʊ
en·co·le·ri·zar,verbo,ĩ.ko.le.ɾi.zˈa
en·co·lha,"nome feminino",ĩ.kˈo.ʎə
en·co·lher,verbo,ĩ.ko.ʎˈe
en·co·lhi·da,"nome feminino",ĩ.ko.ʎˈi.də
en·co·lhi·da·men·te,advérbio,ĩ.ko.ʎi.da.mˈẽj.tʃi
en·co·lhi·do,"nome masculino",ĩ.ko.ʎˈi.dʊ
en·co·lhi·do,adjetivo,ĩ.ko.ʎˈi.dʊ
en·co·lhi·men·to,"nome masculino",ĩ.ko.ʎi.mˈẽj.tʊ
en·co·men·da,"nome feminino",ĩ.ko.mˈẽj.də
en·co·men·da·ção,"nome feminino",ĩ.ko.mẽ.da.sˈə̃w
en·co·men·da·do,adjetivo,ĩ.ko.mẽ.dˈa.dʊ
en·co·men·da·do,"nome masculino",ĩ.ko.mẽ.dˈa.dʊ
en·co·men·dar,verbo,ĩ.ko.mẽ.dˈa
en·co·mi·as·ti·ca·men·te,advérbio,ĩ.ko.mjas.tʃi.ka.mˈẽj.tʃi
en·co·mi·ás·ti·co,adjetivo,ĩ.ko.mjˈas.tʃi.kʊ
"en·có·mi· o","nome masculino",ĩ.kˈɔ.mjʊ
en·con·tra·do,adjetivo,ĩ.kõ.tɾˈa.dʊ
en·con·trão,"nome masculino",ĩ.kõ.tɾˈə̃w
en·con·trar,verbo,ĩ.kõ.tɾˈa
en·con·trá·vel,adjetivo,ĩ.kõ.tɾˈa.vew
en·con·tro,"nome masculino",ĩ.kˈõ.tɾʊ
en·co·ra·ja·dor,adjetivo,ĩ.ko.ɾa.ʒa.dˈoɾ
en·co·ra·ja·dor,"nome masculino",ĩ.ko.ɾa.ʒa.dˈoɾ
en·co·ra·ja·do·ra,"nome feminino",ĩ.ko.ɾa.ʒa.dˈo.ɾə
en·co·ra·ja·men·to,"nome masculino",ĩ.ko.ɾa.ʒa.mˈẽj.tʊ
en·co·ra·jar,verbo,ĩ.ko.ɾa.ʒˈa
en·co·rar,verbo,ĩ.ko.ɾˈa
"en· co· re","nome masculino",
en·cor·nar,verbo,ĩ.kor.nˈa
en·cor·pa·do,adjetivo,ĩ.koɾ.pˈa.dʊ
en·cor·par,verbo,ĩ.koɾ.pˈa
en·cor·ti·çar,verbo,ĩ.koɾ.tʃi.sˈa
en·cos·ta,"nome feminino",ĩ.kˈɔs.tə
en·cos·ta·da,"nome feminino",ĩ.kos.tˈa.də
en·cos·ta·do,adjetivo,ĩ.kos.tˈa.dʊ
en·cos·ta·do,"nome masculino",ĩ.kos.tˈa.dʊ
en·cos·tar,verbo,ĩ.kos.tˈa
en·cos·to,"nome masculino",ĩ.kˈos.tʊ
en·co·va·do,adjetivo,ĩ.ko.vˈa.dʊ
en·co·va·do,"nome masculino",ĩ.ko.vˈa.dʊ
en·co·var,verbo,ĩ.ko.vˈa
en·cra·va,"nome feminino",ĩ.kɾˈa.və
en·cra·va·do,adjetivo,ĩ.kɾa.vˈa.dʊ
en·cra·va·men·to,"nome masculino",ĩ.kɾa.va.mˈẽj.tʊ
en·cra·var,verbo,ĩ.kɾa.vˈa
en·cren·ca,"nome masculino",ĩ.kɾˈẽj.kə
en·cren·ca,"nome feminino",ĩ.kɾˈẽj.kə
en·cren·car,verbo,ĩ.kɾẽ.kˈa
en·cres·pa·do,adjetivo,ĩ.kɾes.pˈa.dʊ
en·cres·par,verbo,ĩ.kɾes.pˈa
en·crip·ta·ção,"nome feminino",ĩ.kɾi.pə.ta.sˈə̃w
en·crip·tar,verbo,ĩ.kɾi.pə.tˈa
en·cru·zar,verbo,ĩ.kɾu.zˈa
en·cru·zi·lha·da,"nome feminino",ĩ.kɾu.zi.ʎˈa.də
en·cru·zi·lhar,verbo,ĩ.kɾu.zi.ʎˈa
en·cu·me·ar,verbo,ĩ.ku.mi.ˈa
en·cur·ra·la·do,adjetivo,ĩ.ku.xa.lˈa.dʊ
en·cur·ra·la·men·to,"nome masculino",ĩ.ku.xa.la.mˈẽj.tʊ
en·cur·ra·lar,verbo,ĩ.ku.xa.lˈa
en·cur·ta·men·to,"nome masculino",ĩ.kuɾ.ta.mˈẽj.tʊ
en·cur·tar,verbo,ĩ.kuɾ.tˈa
en·cur·va·do,adjetivo,ĩ.kuɾ.vˈa.dʊ
en·cur·var,verbo,ĩ.kuɾ.vˈa
en·de·cha,"nome feminino",ĩ.dˈe.ʃə
en·de·char,verbo,ĩ.de.ʃˈa
en·de·mi·a,"nome feminino",ĩ.de.mˈi.jə
en·de·mi·ca·men·te,advérbio,ĩ.dɛ.mi.ka.mˈẽj.tʃi
en·dé·mi·co,adjetivo,ĩ.dˈɛ.mi.kʊ
en·de·mis·mo,"nome masculino",ĩ.de.mˈiz.mʊ
en·de·mo·ni·nha·do,adjetivo,ĩ.de.mo.ni.ɲˈa.dʊ
en·de·mo·ni·nha·do,"nome masculino",ĩ.de.mo.ni.ɲˈa.dʊ
en·de·mo·ni·nhar,verbo,ĩ.de.mo.ni.ɲˈa
en·de·re·ça·men·to,"nome masculino",ĩ.de.ɾe.sa.mˈẽj.tʊ
en·de·re·çar,verbo,ĩ.de.ɾe.sˈa
en·de·re·ço,"nome masculino",ĩ.de.ɾˈe.sʊ
en·deu·sa·do,adjetivo,ĩ.dew.zˈa.dʊ
en·deu·sa·men·to,"nome masculino",ĩ.dew.za.mˈẽj.tʊ
en·deu·sar,verbo,ĩ.dew.zˈa
en·di·a·bra·da,"nome feminino",ĩ.dʒja.bɾˈa.də
en·di·a·bra·da·men·te,advérbio,ĩ.dʒja.bɾa.da.mˈẽj.tʃi
en·di·a·bra·do,adjetivo,ĩ.dʒja.bɾˈa.dʊ
en·di·a·bra·do,"nome masculino",ĩ.dʒja.bɾˈa.dʊ
en·di·a·brar,verbo,ĩ.dʒja.bɾˈa
en·di·nhei·ra·do,adjetivo,ĩ.dʒi.ɲej.ɾˈa.dʊ
en·di·rei·ta,"nome masculino","ĩ.dʒi.ɾˈej.tə ou ĩ.dʒi.ɾˈej.tə"
en·di·rei·tar,verbo,ĩ.dʒi.ɾej.tˈa
"en·dí·vi· a","nome feminino",ĩ.dʒˈi.vjə
en·di·vi·da·do,adjetivo,ĩ.dʒi.vi.dˈa.dʊ
en·di·vi·da·men·to,"nome masculino",ĩ.dʒi.vi.da.mˈẽj.tʊ
en·di·vi·dar,verbo,ĩ.dʒi.vi.dˈa
en·dó·cri·no,adjetivo,ĩ.dˈɔ.kɾi.nʊ
en·do·cri·no·lo·gi·a,"nome feminino",ĩ.dɔ.kɾi.no.lo.ʒˈi.jə
en·do·cri·no·lo·gis·ta,"nome masculino",ĩ.dɔ.kɾi.no.lo.ʒˈis.tə
en·do·cri·no·lo·gis·ta,"nome feminino",ĩ.dɔ.kɾi.no.lo.ʒˈis.tə
en·do·ga·mi·a,"nome feminino",ĩ.dɔ.ga.mˈi.jə
en·do·gâ·mi·co,adjetivo,ĩ.dɔ.gˈə.mi.kʊ
en·dó·ge·no,adjetivo,ĩ.dˈɔ.ʒe.nʊ
en·doi·de·cer,verbo,ĩ.doj.de.sˈe
en·doi·de·ci·do,adjetivo,ĩ.doj.de.sˈi.dʊ
"en·do·mé·tri· o","nome masculino",ĩ.dɔ.mˈɛ.tɾjʊ
en·do·min·ga·do,adjetivo,ĩ.do.mĩɲ.gˈa.dʊ
en·do·min·gar,verbo,ĩ.do.mĩɲ.gˈa
en·dor·fi·na,"nome feminino",ĩ.dɔɾ.fˈi.nə
en·dos·co·pi·a,"nome feminino",ĩ.dos.ko.pˈi.jə
en·dos·có·pi·co,adjetivo,ĩ.dos.kˈɔ.pi.kʊ
"en·dos·có·pi· o","nome masculino",ĩ.dos.kˈɔ.pjʊ
en·dos·sa·da,"nome feminino",ĩ.do.sˈa.də
en·dos·sa·do,"nome masculino",ĩ.do.sˈa.dʊ
en·dos·sa·do,adjetivo,ĩ.do.sˈa.dʊ
en·dos·sar,verbo,ĩ.do.sˈa
en·dos·se,"nome masculino",ĩ.dˈɔ.si
en·dos·so,"nome masculino",ĩ.dˈo.sʊ
en·do·te·li·al,adjetivo,ĩ.do.te.ljˈaw
"en·do·té·li· o","nome masculino",ĩ.dɔ.tˈɛ.ljʊ
en·do·ve·no·so,adjetivo,ĩ.do.ve.nˈo.zʊ
en·dro,"nome masculino",ˈẽ.dɾʊ
"ên·du· a","nome feminino",ˈẽ.dwə
en·du·re·cer,verbo,ĩ.du.ɾe.sˈe
en·du·re·ci·do,adjetivo,ĩ.du.ɾe.sˈi.dʊ
en·du·re·ci·men·to,"nome masculino",ĩ.du.ɾe.si.mˈẽj.tʊ
en·du·ro,"nome masculino",ĩ.dˈu.ɾʊ
e·ne,"nome masculino",ˈe.ni
e·ne·gre·cer,verbo,e.ne.gɾe.sˈe
e·ne·gre·ci·do,adjetivo,e.ne.gɾe.sˈi.dʊ
e·ne·gre·ci·men·to,"nome masculino",e.ne.gɾe.si.mˈẽj.tʊ
"é·ne· o",adjetivo,ˈɛ.njʊ
e·ner·gé·ti·ca,"nome feminino",e.neɾ.ʒˈɛ.tʃi.kə
e·ner·ge·ti·ca·men·te,advérbio,e.neɾ.ʒɛ.tʃi.ka.mˈẽj.tʃi
e·ner·gé·ti·co,adjetivo,e.neɾ.ʒˈɛ.tʃi.kʊ
e·ner·gi·a,"nome feminino",e.nɛɾ.ʒˈi.jə
e·ner·gi·ca·men·te,advérbio,e.nɛɾ.ʒi.ka.mˈẽj.tʃi
e·nér·gi·co,adjetivo,e.nˈɛɾ.ʒi.kʊ
e·ner·gú·me·no,"nome masculino",e.neɾ.gˈu.me.nʊ
e·ner·va·do,adjetivo,e.neɾ.vˈa.dʊ
e·ner·va·men·to,"nome masculino",e.neɾ.va.mˈẽj.tʊ
e·ner·van·te,adjetivo,e.neɾ.vˈə̃.tʃi
e·ner·var,verbo,e.neɾ.vˈa
e·né·si·mo,"nome masculino",ɛ.nˈɛ.zi.mʊ
e·né·si·mo,número,ɛ.nˈɛ.zi.mʊ
e·ne·vo·a·do,adjetivo,e.ne.vo.ˈa.dʊ
e·ne·vo·ar,verbo,e.ne.vo.ˈa
en·fa·da·do,adjetivo,ĩ.fa.dˈa.dʊ
en·fa·dar,verbo,ĩ.fa.dˈa
en·fa·do,"nome masculino",ĩ.fˈa.dʊ
en·fa·do·nha·men·te,advérbio,ĩ.fa.do.ɲa.mˈẽj.tʃi
en·fa·do·nho,adjetivo,ĩ.fa.dˈo.ɲʊ
en·fai·xa·do,adjetivo,ĩ.faj.ʃˈa.dʊ
en·fai·xar,verbo,ĩ.faj.ʃˈa
en·far·da·do,adjetivo,ĩ.faɾ.dˈa.dʊ
en·far·dar,verbo,ĩ.faɾ.dˈa
en·fa·ri·nha·do,adjetivo,ĩ.fa.ɾi.ɲˈa.dʊ
en·fa·ri·nhar,verbo,ĩ.fa.ɾi.ɲˈa
en·far·pe·la·do,adjetivo,ĩ.faɾ.pe.lˈa.dʊ
en·far·pe·lar,verbo,ĩ.faɾ.pe.lˈa
en·far·rus·ca·do,adjetivo,ĩ.fa.xus.kˈa.dʊ
en·far·rus·car,verbo,ĩ.fa.xus.kˈa
en·far·ta·do,adjetivo,ĩ.faɾ.tˈa.dʊ
en·far·ta·men·to,"nome masculino",ĩ.faɾ.ta.mˈẽj.tʊ
en·far·tar,verbo,ĩ.faɾ.tˈa
en·far·te,"nome masculino",ĩ.fˈaɾ.tʃi
en·fa·sar,verbo,ĩ.fa.zˈa
ên·fa·se,"nome feminino",ˈẽ.fa.zi
en·fas·ti·a·do,adjetivo,ĩ.fas.tʃjˈa.dʊ
en·fas·ti·an·te,adjetivo,ĩ.fas.tʃjˈə̃.tʃi
en·fas·ti·ar,verbo,ĩ.fas.tʃjˈa
en·fa·ti·ca·men·te,advérbio,ĩ.fa.tʃi.ka.mˈẽj.tʃi
en·fá·ti·co,adjetivo,ĩ.fˈa.tʃi.kʊ
en·fa·ti·za·ção,"nome feminino",ĩ.fa.tʃi.za.sˈə̃w
en·fa·ti·zar,verbo,ĩ.fa.tʃi.zˈa
en·fa·tu·a·da·men·te,advérbio,ĩ.fa.twa.da.mˈẽj.tʃi
en·fa·tu·a·do,adjetivo,ĩ.fa.twˈa.dʊ
en·fa·tu·ar,verbo,ĩ.fa.twˈa
en·fei·tar,verbo,ĩ.fej.tˈa
en·fei·te,"nome masculino",ĩ.fˈej.tʃi
en·fei·ti·ça·do,adjetivo,ĩ.fej.tʃi.sˈa.dʊ
en·fei·ti·çar,verbo,ĩ.fej.tʃi.sˈa
en·fei·xar,verbo,ĩ.fej.ʃˈa
en·fer·ma,"nome feminino",ĩ.fˈeɾ.mə
en·fer·ma·gem,"nome feminino",ĩ.feɾ.mˈa.ʒeɲ
en·fer·mar,verbo,ĩ.feɾ.mˈa
en·fer·ma·ri·a,"nome feminino",ĩ.feɾ.ma.ɾˈi.jə
en·fer·mei·ra,"nome feminino",ĩ.feɾ.mˈej.ɾə
en·fer·mei·ro,"nome masculino",ĩ.feɾ.mˈej.ɾʊ
en·fer·mi·da·de,"nome feminino",ĩ.feɾ.mi.dˈa.dʒi
en·fer·mo,adjetivo,ĩ.fˈeɾ.mʊ
en·fer·mo,"nome masculino",ĩ.fˈeɾ.mʊ
en·fer·ru·ja·do,adjetivo,ĩ.fe.xu.ʒˈa.dʊ
en·fer·ru·jar,verbo,ĩ.fe.xu.ʒˈa
en·feu·da·do,adjetivo,ĩ.few.dˈa.dʊ
en·feu·dar,verbo,ĩ.few.dˈa
en·fe·za·do,adjetivo,ĩ.fe.zˈa.dʊ
en·fe·zar,verbo,ĩ.fe.zˈa
en·fi·a·da,"nome feminino",ĩ.fjˈa.də
en·fi·a·do,adjetivo,ĩ.fjˈa.dʊ
en·fi·a·men·to,"nome masculino",ĩ.fja.mˈẽj.tʊ
en·fi·ar,verbo,ĩ.fjˈa
en·fi·lei·ra·do,adjetivo,ĩ.fi.lej.ɾˈa.dʊ
en·fi·lei·rar,verbo,ĩ.fi.lej.ɾˈa
en·fim,advérbio,ĩ.fˈiɲ
en·fi·se·ma,"nome masculino",ĩ.fi.zˈe.mə
en·fo·car,verbo,ĩ.fo.kˈa
en·fo·que,"nome masculino",ĩ.fˈɔ.ki
en·for·ca·da,"nome feminino",ĩ.foɾ.kˈa.də
en·for·ca·do,"nome masculino",ĩ.foɾ.kˈa.dʊ
en·for·ca·do,adjetivo,ĩ.foɾ.kˈa.dʊ
en·for·ca·men·to,"nome masculino",ĩ.foɾ.ka.mˈẽj.tʊ
en·for·car,verbo,ĩ.foɾ.kˈa
en·for·ma·do,adjetivo,ĩ.foɾ.mˈa.dʊ
en·for·ma·dor,adjetivo,ĩ.foɾ.ma.dˈoɾ
en·for·ma·dor,"nome masculino",ĩ.foɾ.ma.dˈoɾ
en·for·mar,verbo,ĩ.foɾ.mˈa
en·for·nar,verbo,ĩ.for.nˈa
en·fra·que·ce·dor,adjetivo,ĩ.fɾa.ke.se.dˈoɾ
en·fra·que·cer,verbo,ĩ.fɾa.ke.sˈe
en·fra·que·ci·do,adjetivo,ĩ.fɾa.ke.sˈi.dʊ
en·fra·que·ci·men·to,"nome masculino",ĩ.fɾa.ke.si.mˈẽj.tʊ
en·fras·car,verbo,ĩ.fɾas.kˈa
en·fren·ta·men·to,"nome masculino",ĩ.fɾẽ.ta.mˈẽj.tʊ
en·fren·tar,verbo,ĩ.fɾẽ.tˈa
en·fro·nha·do,adjetivo,ĩ.fɾo.ɲˈa.dʊ
en·fro·nhar,verbo,ĩ.fɾo.ɲˈa
en·fu·ma·rar,verbo,ĩ.fu.ma.ɾˈa
en·fu·nar,verbo,ĩ.fu.nˈa
en·fu·re·cer,verbo,ĩ.fu.ɾe.sˈe
en·fu·re·ci·do,adjetivo,ĩ.fu.ɾe.sˈi.dʊ
en·ga·çar,verbo,ĩ.ga.sˈa
en·ga·ço,"nome masculino",ĩ.gˈa.sʊ
en·gai·o·la·do,adjetivo,ĩ.gaj.o.lˈa.dʊ
en·gai·o·lar,verbo,ĩ.gaj.o.lˈa
en·ga·ja·do,adjetivo,ĩ.ga.ʒˈa.dʊ
en·ga·ja·do,"nome masculino",ĩ.ga.ʒˈa.dʊ
en·ga·ja·dor,adjetivo,ĩ.ga.ʒa.dˈoɾ
en·ga·ja·dor,"nome masculino",ĩ.ga.ʒa.dˈoɾ
en·ga·ja·men·to,"nome masculino",ĩ.ga.ʒa.mˈẽj.tʊ
en·ga·jar,verbo,ĩ.ga.ʒˈa
en·ga·la·na·do,adjetivo,ĩ.ga.la.nˈa.dʊ
en·ga·la·nar,verbo,ĩ.ga.la.nˈa
en·gal·fi·nha·men·to,"nome masculino",ĩ.gaw.fi.ɲa.mˈẽj.tʊ
en·gal·fi·nhar,verbo,ĩ.gaw.fi.ɲˈa
en·ga·na·do,adjetivo,ĩ.ga.nˈa.dʊ
en·ga·na·dor,adjetivo,ĩ.ga.na.dˈoɾ
en·ga·na·dor,"nome masculino",ĩ.ga.na.dˈoɾ
en·ga·na·do·ra,"nome feminino",ĩ.ga.na.dˈo.ɾə
en·ga·nar,verbo,ĩ.ga.nˈa
en·gan·char,verbo,ĩ.gə̃.ʃˈa
en·ga·nir,verbo,ĩ.ga.nˈi
en·ga·no,"nome masculino",ĩ.gˈə.nʊ
en·ga·no·sa·men·te,advérbio,ĩ.ga.nɔ.za.mˈẽj.tʃi
en·ga·no·so,adjetivo,ĩ.ga.nˈo.zʊ
en·gar,verbo,ĩ.gˈa
en·gar·ra·fa·do,adjetivo,ĩ.ga.xa.fˈa.dʊ
en·gar·ra·fa·dor,"nome masculino",ĩ.ga.xa.fa.dˈoɾ
en·gar·ra·fa·dor,adjetivo,ĩ.ga.xa.fa.dˈoɾ
en·gar·ra·fa·do·ra,"nome feminino",ĩ.ga.xa.fa.dˈo.ɾə
en·gar·ra·fa·men·to,"nome masculino",ĩ.ga.xa.fa.mˈẽj.tʊ
en·gar·ra·far,verbo,ĩ.ga.xa.fˈa
en·gar·ra·fo·nar,verbo,ĩ.ga.xa.fo.nˈa
en·gas·ga·do,adjetivo,ĩ.gaz.gˈa.dʊ
en·gas·gar,verbo,ĩ.gaz.gˈa
en·gas·go,"nome masculino",ĩ.gˈaz.gʊ
en·gas·gue,"nome masculino",ĩ.gˈaz.gi
en·gas·tar,verbo,ĩ.gas.tˈa
